"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"CollectCarrots_Descriptions","Obtain crops ({0}/{1})","Ottieni colture ({0}/{1})","Zdobądź plony ({0}/{1})","Obtén cultivos ({0}/{1})","Erhalte Ernten ({0}/{1})","Obtenha colheitas ({0}/{1})","Obtenir des récoltes ({0}/{1})","作物を入手する ({0}/{1})","Получите урожай ({0}/{1})","Mahsul al ({0}/{1})","احصل على المحاصيل ({0}/{1})","Získejte plodiny ({0}/{1})","รับพืชผล ({0}/{1})","Dapatkan panen ({0}/{1})","Verkrijg gewassen ({0}/{1})","Thu hoạch ({0}/{1})","농작물을 얻으세요 ({0}/{1})","获取庄稼 ({0}/{1})","獲得作物 ({0}/{1})","Gaukite derlių ({0}/{1})","Отримайте врожай ({0}/{1})","Iegūstiet ražu ({0}/{1})","पैदावार प्राप्त करें ({0}/{1})","Λάβετε καλλιέργειες ({0}/{1})","Obtenha colheitas ({0}/{1})"
"EliminateBunnies_Descriptions","Eliminate bunnies ({0}/{1})","Elimina i conigli ({0}/{1})","Wyeliminuj króliki ({0}/{1})","Elimina a los conejos ({0}/{1})","Beseitige die Hasen ({0}/{1})","Elimine os coelhos ({0}/{1})","Éliminer les lapins ({0}/{1})","ウサギを排除する ({0}/{1})","Устраните кроликов ({0}/{1})","Tavşanları yok et ({0}/{1})","القضاء على الأرانب ({0}/{1})","Odstraňte králíky ({0}/{1})","กำจัดกระต่าย ({0}/{1})","Hapuskan kelinci ({0}/{1})","Elimineer de konijnen ({0}/{1})","Loại bỏ thỏ ({0}/{1})","토끼를 제거하세요 ({0}/{1})","消灭兔子 ({0}/{1})","消滅兔子 ({0}/{1})","Pašalinkite triušius ({0}/{1})","Усуньте кроликів ({0}/{1})","Izņemiet zaķus ({0}/{1})","खरगोशों को हटाएं ({0}/{1})","Εξαφανίστε τα κουνέλια ({0}/{1})","Elimine os coelhos ({0}/{1})"
"FarmersRevenge_Descriptions","Steal and stash the farmer's hat ({0}/{1})","Ruba e nascondi il cappello del contadino ({0}/{1})","Ukradnij i schowaj kapelusz rolnika ({0}/{1})","Roba y guarda el sombrero del granjero ({0}/{1})","Stiehl und verstaue den Bauernhut ({0}/{1})","Rouba e guarda o chapéu do fazendeiro ({0}/{1})","Vole et cache le chapeau du fermier ({0}/{1})","農夫の帽子を盗んで隠す ({0}/{1})","Укради и спрячь шляпу фермера ({0}/{1})","Çiftçinin şapkasını çal ve sakla ({0}/{1})","اسرق واخبئ قبعة الفلاح ({0}/{1})","Ukradni a schovej klobouk farmáře ({0}/{1})","ขโมยและซ่อนหมวกชาวนา ({0}/{1})","Curi dan simpan topi petani ({0}/{1})","Steel en berg de boerenhoed op ({0}/{1})","Ăn cắp và cất giữ nón nông dân ({0}/{1})","농부의 모자를 훔쳐 숨겨라 ({0}/{1})","偷走并藏匿农夫的帽子 ({0}/{1})","偷走並藏匿農夫的帽子 ({0}/{1})","Vogk ir paslėpk ūkininko skrybėlę ({0}/{1})","Вкради і сховай капелюх фермера ({0}/{1})","Nozog un paslēpj zemnieka cepuri ({0}/{1})","किसान की टोपी चुराओ और छुपाओ ({0}/{1})","Κλέψε και κρύψε το καπέλο του αγρότη ({0}/{1})","Roube e esconda o chapéu do fazendeiro ({0}/{1})"
"FillYourTummies_Descriptions","Fill your tummies ({0}/{1})","Riempi la pancia ({0}/{1})","Napełnij swoje brzuszki ({0}/{1})","Llena tus barriguitas ({0}/{1})","Fülle deine Bäuche ({0}/{1})","Encha as tuas barriguinhas ({0}/{1})","Remplissez vos ventres ({0}/{1})","お腹を満たす ({0}/{1})","Наполните животики ({0}/{1})","Karınlarınızı doldurun ({0}/{1})","املأ بطونك ({0}/{1})","Naplňte si bříška ({0}/{1})","เติมท้องของคุณ ({0}/{1})","Isi perutmu ({0}/{1})","Vul je buikjes ({0}/{1})","Lấp đầy bụng của bạn ({0}/{1})","배를 채우세요 ({0}/{1})","填饱肚子 ({0}/{1})","填飽肚子 ({0}/{1})","Pripildykite savo pilvelius ({0}/{1})","Наповніть животики ({0}/{1})","Piepildiet vēderus ({0}/{1})","अपने पेट भरें ({0}/{1})","Γεμίστε τις κοιλίτσες σας ({0}/{1})","Encha suas barriguinhas ({0}/{1})"
"HerdSheep_Descriptions","Herd the sheep into enclosement ({0}/{1})","Raduna le pecore nell'enclos ({0}/{1})","Zaganiaj owce do zagrody ({0}/{1})","Reúne a las ovejas en el cercado ({0}/{1})","Treibe die Schafe ins Gehege ({0}/{1})","Conduza as ovelhas para o cercado ({0}/{1})","Rassemblez les moutons dans l'enclos ({0}/{1})","羊を囲いに追い込む ({0}/{1})","Загоните овец в загон ({0}/{1})","Koyunları çitle çevir ({0}/{1})","أحضر الأغنام إلى الحظيرة ({0}/{1})","Sesbírejte ovce do ohrady ({0}/{1})","เลี้ยงแกะเข้าโรงเรือน ({0}/{1})","Kumpulkan domba ke kandang ({0}/{1})","Drijf de schapen naar de omheining ({0}/{1})","Chuyển cừu vào chuồng ({0}/{1})","양을 울타리 안으로 몰아넣으세요 ({0}/{1})","把羊赶进围栏 ({0}/{1})","將羊趕進圍欄 ({0}/{1})","Pievilkite avis į aptvarką ({0}/{1})","Загоніть вівці у загін ({0}/{1})","Novadīt aitas uz žogu ({0}/{1})","भेड़ों को बंद में चला लें ({0}/{1})","Μάζεψε τα πρόβατα στο κλουβί ({0}/{1})","Conduza as ovelhas para o cercado ({0}/{1})"
"LateNightSnack_Descriptions","Snack on carrots ({0}/{1})","Sgranocchia carote ({0}/{1})","Podjadać marchewki ({0}/{1})","Come zanahorias de aperitivo ({0}/{1})","Knabbere an Karotten ({0}/{1})","Lanche de cenouras ({0}/{1})","Grignotez des carottes ({0}/{1})","人参をつまむ ({0}/{1})","Перекусите морковью ({0}/{1})","Havuç yiyin ({0}/{1})","تناول الجزر كوجبة خفيفة ({0}/{1})","Svačte na mrkvích ({0}/{1})","ข้าวว่างแครอท ({0}/{1})","Mengemil wortel ({0}/{1})","Knabbel aan wortels ({0}/{1})","Ăn cà rốt như một món ăn nhẹ ({0}/{1})","당근을 간식으로 먹으세요 ({0}/{1})","吃胡萝卜小吃 ({0}/{1})","吃胡蘿蔔小吃 ({0}/{1})","Užkandžiaukite morkomis ({0}/{1})","Перекусіть морквою ({0}/{1})","Ēdiet burkānus kā uzkodas ({0}/{1})","गाजर को नाश्ता में खाएं ({0}/{1})","Σνακ με καρότα ({0}/{1})","Lanche de cenouras ({0}/{1})"
"SmashMushrooms_Descriptions","Smash poisonous mushrooms ({0}/{1})","Distruggi i funghi velenosi ({0}/{1})","Zniszcz trujące grzyby ({0}/{1})","Aplasta las setas venenosas ({0}/{1})","Zertrümmere giftige Pilze ({0}/{1})","Esmague cogumelos venenosos ({0}/{1})","Écrasez les champignons vénéneux ({0}/{1})","毒キノコを潰す ({0}/{1})","Разбейте ядовитые грибы ({0}/{1})","Zehirli mantarları ez ({0}/{1})","اسحق الفطر السام ({0}/{1})","Rozdrťte jedovaté houby ({0}/{1})","ทำลายเห็ดพิษ ({0}/{1})","Hancurkan jamur beracun ({0}/{1})","Verpletter giftige paddenstoelen ({0}/{1})","Đập nát nấm độc ({0}/{1})","독버섯을 부수세요 ({0}/{1})","粉碎有毒蘑菇 ({0}/{1})","粉碎有毒蘑菇 ({0}/{1})","Sutriuškinkite nuodingus grybus ({0}/{1})","Розбийте отруйні гриби ({0}/{1})","Sasmalciniet indīgās sēnes ({0}/{1})","विषैले मशरूम तोड़ें ({0}/{1})","Σπάστε τα δηλητηριώδη μανιτάρια ({0}/{1})","Esmague cogumelos venenosos ({0}/{1})"
"StealAllCarrots_Descriptions","Steal carrots from one of the farmer's fields ({0}/{1})","Ruba le carote da uno dei campi dell'agricoltore ({0}/{1})","Ukradnij marchewki z jednego z pól rolnika ({0}/{1})","Roba zanahorias de uno de los campos del granjero ({0}/{1})","Stehle Karotten von einem der Felder des Bauern ({0}/{1})","Rouba cenouras de um dos campos do agricultor ({0}/{1})","Vole des carottes dans l'un des champs du fermier ({0}/{1})","農夫の畑の一つから人参を盗む ({0}/{1})","Украдите морковь с одного из полей фермера ({0}/{1})","Bir çiftçinin tarlalarından havuç çal ({0}/{1})","استولِ على الجزر من أحد حقول الفلاح ({0}/{1})","Ukradni mrkve z jednoho z polí farmáře ({0}/{1})","ขโมยแครอทจากหนึ่งในทุ่งนาของชาวนา ({0}/{1})","Curi wortel dari salah satu ladang petani ({0}/{1})","Steel wortelen van een van de boer zijn velden ({0}/{1})","Cướp cà rốt từ một trong những cánh đồng của nông dân ({0}/{1})","농부의 밭 중 하나에서 당근을 훔쳐라 ({0}/{1})","从农民的一个田地偷胡萝卜 ({0}/{1})","從農民的一個田地偷胡蘿蔔 ({0}/{1})","Vogti morkas iš vieno iš ūkininko laukų ({0}/{1})","Вкрадіть моркву з одного з полів фермера ({0}/{1})","Nozog burkānus no viena no zemnieka laukiem ({0}/{1})","किसान के खेतों में से एक से गाजर चुराएं ({0}/{1})","Κλέψε καρότα από ένα από τα χωράφια του αγρότη ({0}/{1})","Roube cenouras de um dos campos do fazendeiro ({0}/{1})"
"TalonTrouble_Descriptions","Escape eagles ({0}/{1})","Sfuggi alle aquile ({0}/{1})","Uciekaj przed orłami ({0}/{1})","Escapa de las águilas ({0}/{1})","Entkomme den Adlern ({0}/{1})","Fuja das águias ({0}/{1})","Échappez aux aigles ({0}/{1})","鷲から逃げる ({0}/{1})","Сбежать от орлов ({0}/{1})","Kartallardan kaç ({0}/{1})","الهروب من النسور ({0}/{1})","Utečte před orly ({0}/{1})","หนีอินทรี ({0}/{1})","Hindari elang ({0}/{1})","Ontsnap aan de arenden ({0}/{1})","Trốn thoát khỏi đại bàng ({0}/{1})","독수리로부터 도망치세요 ({0}/{1})","逃避鹰 ({0}/{1})","逃避鷹 ({0}/{1})","Pabėgti nuo erelių ({0}/{1})","Втеча від орлів ({0}/{1})","Izbēgt no ērgļiem ({0}/{1})","गरुड़ों से भागो ({0}/{1})","Δραπέτευσε από τους αετούς ({0}/{1})","Fuja das águias ({0}/{1})"
"TreasureHunt_Descriptions","Steal and stash the farmer's hat ({0}/{1})","Ruba e nascondi il cappello del contadino ({0}/{1})","Ukradnij i schowaj kapelusz farmera ({0}/{1})","Roba y esconde el sombrero del granjero ({0}/{1})","Stiehl und verstecke den Hut des Bauern ({0}/{1})","Roube e esconda o chapéu do fazendeiro ({0}/{1})","Volez et cachez le chapeau du fermier ({0}/{1})","農家の帽子を盗んで隠す ({0}/{1})","Укради и спрячь шляпу фермера ({0}/{1})","Çiftçinin şapkasını çal ve sakla ({0}/{1})","اسرق قبعة المزارع وأخفها ({0}/{1})","Ukradni a schovej farmářův klobouk ({0}/{1})","ขโมยและซ่อนหมวกของชาวไร่ ({0}/{1})","Curi dan sembunyikan topi petani ({0}/{1})","Steel en verberg de hoed van de boer ({0}/{1})","Đánh cắp và cất giấu mũ của nông dân ({0}/{1})","농부의 모자를 훔쳐서 숨겨라 ({0}/{1})","偷走并藏匿农夫的帽子 ({0}/{1})","偷走並藏匿農夫的帽子 ({0}/{1})","Pavok ir paslėpk ūkininko skrybėlę ({0}/{1})","Вкради і сховай капелюх фермера ({0}/{1})","Nozog un paslēp zemnieka cepuri ({0}/{1})","किसान की टोपी चुराओ और छिपाओ ({0}/{1})","Κλέψε και κρύψε το καπέλο του αγρότη ({0}/{1})","Roube e esconda o chapéu do fazendeiro ({0}/{1})"
"Tasks Completed","Tasks Completed","Attività completate","Zadania ukończone","Tareas completadas","Aufgaben abgeschlossen","Tarefas concluídas","Tâches terminées","タスク完了","Задачи выполнены","Tamamlanan Görevler","المهام المكتملة","Dokončené úkoly","งานที่เสร็จสมบูรณ์","Tugas yang Diselesaikan","Voltooide taken","Nhiệm vụ đã hoàn thành","완료된 작업","完成的任务","完成的任務","Atlikti uždaviniai","Виконані завдання","Pabeigtie uzdevumi","पूरा किए गए कार्य","Ολοκληρωμένες Εργασίες","Tarefas concluídas"
"Template","Medium","Modello","Szablon","Plantilla","Vorlage","Modelo","Modèle","テンプレート","Шаблон","Şablon","قالب","Šablona","แม่แบบ","Template","Sjabloon","Mẫu","템플릿","模板","模板","Šablonas","Шаблон","Šablona","टेम्पलेट","Πρότυπο","Modelo"
"ChooseYourPlaystyle","Choose your playstyle","Scegli il tuo stile di gioco","Wybierz swój styl gry","Elige tu estilo de juego","Wähle deinen Spielstil","Escolha o seu estilo de jogo","Choisissez votre style de jeu","プレイスタイルを選択してください","Выберите ваш стиль игры","Oyun stilinizi seçin","اختر أسلوب اللعب الخاص بك","Zvolte svůj herní styl","เลือกสไตล์การเล่นของคุณ","Pilih gaya bermainmu","Kies je speelstijl","Chọn phong cách chơi của bạn","플레이 스타일을 선택하세요","选择您的游戏风格","選擇您的遊戲風格","Pasirinkite savo žaidimo stilių","Виберіть свій стиль гри","Izvēlieties savu spēles stilu","अपनी खेलने की शैली चुनें","Επιλέξτε το στυλ παιχνιδιού σας","Escolha seu estilo de jogo"
"ChooseYourPlaystyle_Description","- There are multiple ways to achieve victory as a traitor. The only limit is your imagination.","- Ci sono più modi per ottenere la vittoria come traditore. L'unico limite è la tua immaginazione.","- Istnieje wiele sposobów, by osiągnąć zwycięstwo jako zdrajca. Jedynym ograniczeniem jest twoja wyobraźnia.","- Hay múltiples formas de lograr la victoria como traidor. El único límite es tu imaginación.","- Es gibt mehrere Wege, als Verräter den Sieg zu erringen. Die einzige Grenze ist deine Vorstellungskraft.","- Existem várias maneiras de alcançar a vitória como traidor. O único limite é a sua imaginação.","- Il y a plusieurs façons de remporter la victoire en tant que traître. La seule limite est votre imagination.","- 裏切り者として勝利を収める方法はいくつもあります。限界はあなたの想像力だけです。","- Есть несколько способов добиться победы в роли предателя. Единственный предел - ваша фантазия.","- Bir hain olarak zaferi elde etmenin birden fazla yolu vardır. Tek sınırlama hayal gücünüzdür.","- هناك عدة طرق لتحقيق النصر كخائن. الحد الوحيد هو خيالك.","- Existuje několik způsobů, jak dosáhnout vítězství jako zrádce. Jediným limitem je vaše představivost.","- มีหลายวิธีที่จะทำให้คุณชนะในฐานะผู้ทรยศ ขีดจำกัดเพียงอย่างเดียวคือจินตนาการของคุณ","- Ada banyak cara untuk meraih kemenangan sebagai pengkhianat. Batasnya hanya imajinasi Anda.","- Er zijn meerdere manieren om als verrader te winnen. De enige limiet is je verbeelding.","- Có nhiều cách để giành chiến thắng như một kẻ phản bội. Giới hạn duy nhất là trí tưởng tượng của bạn.","- 배신자로서 승리를 거두는 방법은 여러 가지입니다. 유일한 제한은 당신의 상상력입니다.","- 作为叛徒，有多种方式可以取得胜利。唯一的限制是你的想象力。","- 作為叛徒，有多種方式可以取得勝利。唯一的限制是你的想像力。","- Yra keletas būdų pasiekti pergalę kaip išdavikas. Vienintelė riba yra jūsų vaizduotė.","- Є кілька способів досягти перемоги як зрадник. Єдиний ліміт - ваша фантазія.","- Ir vairāki veidi, kā gūt uzvaru kā nodevējs. Vienīgais ierobežojums ir jūsu iztēle.","- विश्वासघाती के रूप में जीत प्राप्त करने के लिए कई तरीके हैं। एकमात्र सीमा आपकी कल्पना है।","- Υπάρχουν πολλοί τρόποι για να κερδίσετε ως προδότης. Το μόνο όριο είναι η φαντασία σας.","- Existem várias maneiras de alcançar a vitória como traidor. O único limite é a sua imaginação."
"CompleteTheTasks","Complete the tasks","Completa le attività","Ukończ zadania","Completa las tareas","Erledige die Aufgaben","Complete as tarefas","Terminez les tâches","タスクを完了する","Завершите задачи","Görevleri tamamla","أكمل المهام","Dokonči úkoly","เสร็จสิ้นงาน","Selesaikan tugas-tugas","Voltooi de taken","Hoàn thành các nhiệm vụ","작업을 완료하십시오","完成任务","完成任務","Užduotys atliktos","Завершити завдання","Pabeidz uzdevumus","कार्यों को पूरा करें","Ολοκληρώστε τα καθήκοντα","Complete as tarefas"
"CompleteTheTasks_Description","- Your goal is to complete the tasks.
All tasks provide gold to use for items/abilities at vendors.","- Il tuo obiettivo è completare le attività.
Tutte le attività forniscono oro da utilizzare per oggetti/abilità dai venditori.","- Twoim celem jest ukończenie zadań.
Wszystkie zadania dostarczają złota do wykorzystania na przedmioty/umiejętności u sprzedawców.","- Tu objetivo es completar las tareas.
Todas las tareas proporcionan oro para usar en artículos/habilidades en los vendedores.","- Dein Ziel ist es, die Aufgaben zu erledigen.
Alle Aufgaben liefern Gold, das du bei Händlern für Gegenstände/Fähigkeiten verwenden kannst.","- O teu objetivo é completar as tarefas.
Todas as tarefas fornecem ouro para usar em itens/habilidades nos vendedores.","- Votre objectif est de terminer les tâches.
Toutes les tâches fournissent de l'or à utiliser pour des objets/capacités chez les vendeurs.","- あなたの目標はタスクを完了することです。
すべてのタスクは、ベンダーでアイテム/能力に使用するためのゴールドを提供します。","- Ваша цель - выполнить задания.
Все задания дают золото, которое можно использовать для покупки предметов/способностей у торговцев.","- Amacınız görevleri tamamlamak.
Tüm görevler, satıcılardan eşya/yetenek almak için kullanılacak altın sağlar.","- هدفك هو إكمال المهام.
توفر جميع المهام الذهب لاستخدامه في العناصر/القدرات لدى البائعين.","- Vaším cílem je dokončit úkoly.
Všechny úkoly poskytují zlato k použití na předměty/schopnosti u obchodníků.","- เป้าหมายของคุณคือการทำภารกิจให้สำเร็จ
ภารกิจทั้งหมดให้ทองเพื่อใช้ซื้อไอเท็ม/ความสามารถจากพ่อค้า","- Tujuan kamu adalah menyelesaikan tugas-tugas.
Semua tugas memberikan emas untuk digunakan membeli item/kemampuan di penjual.","- Jouw doel is om de taken te voltooien.
Alle taken leveren goud op om te gebruiken voor items/vaardigheden bij verkopers.","- Mục tiêu của bạn là hoàn thành các nhiệm vụ.
Tất cả các nhiệm vụ đều cung cấp vàng để sử dụng cho các vật phẩm/kỹ năng tại cửa hàng.","- 당신의 목표는 임무를 완료하는 것입니다.
모든 임무는 상인에게서 아이템/능력을 구매할 수 있는 골드를 제공합니다.","- 你的目标是完成任务。
所有任务都会提供金币，用于在商人处购买道具/技能。","- 你的目標是完成任務。
所有任務都會提供黃金，可用於在商人處購買道具/技能。","- Jūsų tikslas - įvykdyti užduotis.
Visos užduotys suteikia aukso, kad galėtumėte jį išleisti pardavėjų daiktams/gebėjimams.","- Ваша мета - виконати завдання.
Усі завдання забезпечують вас золотом для використання на предмети/здібності у торговців.","- Tavs mērķis ir izpildīt uzdevumus.
Visi uzdevumi dod zeltu, ko izmantot priekšmetiem/spējām pie pārdevējiem.","- आपका लक्ष्य कार्यों को पूरा करना है।
सभी कार्य विक्रेताओं पर वस्तुओं/क्षमताओं के लिए उपयोग करने के लिए सोना प्रदान करते हैं।","- Ο στόχος σας είναι να ολοκληρώσετε τις εργασίες.
Όλες οι εργασίες παρέχουν χρυσό για αντικείμενα/ικανότητες στους πωλητές。","- Seu objetivo é completar as tarefas.
Todas as tarefas fornecem ouro para usar em itens/habilidades nos vendedores。"
"EliminateTraitors","Eliminate traitors","Elimina i traditori","Wyeliminuj zdrajców","Eliminar traidores","Verräter eliminieren","Eliminar traidores","Éliminer les traîtres","裏切り者を排除する","Предателей устранить","Hainleri ortadan kaldır","القضاء على الخونة","Odstranit zrádce","กำจัดคนทรยศ","Hapus pengkhianat","Verraders uitschakelen","Loại bỏ kẻ phản bội","배신자를 제거하다","消灭叛徒","消滅叛徒","Išnaikinti išdavikus","Ліквідувати зрадників","Izdzēst nodevējus","ग़द्दारों को हटाओ","Εξοντώστε τους προδότες","Eliminar traidores"
"EliminateTraitors_Description","- Keep an eye out for traitors.
- Use your best judgement.","- Tieni d'occhio i traditori.
- Usa il tuo miglior giudizio.","- Uważaj na zdrajców.
- Użyj swojego najlepszego osądu.","- Mantén un ojo en los traidores.
- Usa tu mejor criterio.","- Halte Ausschau nach Verrätern.
- Nutze dein bestes Urteilsvermögen.","- Fique atento a traidores.
- Use o seu melhor julgamento.","- Gardez un œil sur les traîtres.
- Utilisez votre meilleur jugement.","- 裏切り者に注意してください。
- 最善の判断を使用してください。","- Будьте на чеку: здесь есть предатели.
- Используйте свое лучшее суждение.","- Hainlere dikkat et.
- En iyi yargını kullan.","- احترس من الخونة.
- استخدم أفضل تقدير لديك.","- Dej si pozor na zrádce.
- Použijte svůj nejlepší úsudek.","- ระวังคนทรยศ
- ใช้คำพิพากษาที่ดีที่สุดของคุณ","- Waspadai pengkhianat.
- Gunakan pertimbangan terbaik Anda.","- Let op voor verraders.
- Gebruik je beste oordeel.","- Hãy để mắt đến kẻ phản bội.
- Sử dụng sự phán đoán tốt nhất của bạn.","- 배신자를 주의하십시오.
- 당신의 최선의 판단을 사용하십시오.","- 留意叛徒。
- 使用您最好的判断。","- 留意叛徒。
- 使用您最好的判斷。","- Saugokis išdavikų.
- Naudok savo geriausią nuosprendį.","- Будьте уважні, є зрадники.
- Використовуйте свій кращий розсуд.","- Esiet uzmanīgi pret nodevējiem.
- Izmantojiet savu labāko spriedumu.","- ध्यान रखें, यहां ग़द्दार हो सकते हैं।
- अपनी सर्वोत्तम विवेक शक्ति का उपयोग करें।","- Προσέξτε για προδότες.
- Χρησιμοποιήστε την καλύτερη κρίση σας.","- Fique de olho em traidores.
- Use seu melhor julgamento."
"GoalsAsInnocent","- Goals as an innocent -","- Obiettivi come innocente -","- Cele jako niewinny -","- Objetivos como inocente -","- Ziele als Unschuldiger -","- Objetivos como inocente -","- Objectifs en tant qu'innocent -","- 無実としての目標 -","- Цели как невинный -","- Masum olarak hedefler -","- أهداف كبريء -","- Cíle jako nevinný -","- เป้าหมายในฐานะผู้บริสุทธิ์ -","- Tujuan sebagai orang tak bersalah -","- Doelen als onschuldige -","- Mục tiêu như là một người vô tội -","- 무죄로서의 목표 -","- 作为无辜者的目标 -","- 作為無辜者的目標 -","- Tikslai kaip nekaltas -","- Мета як невинний -","- Mērķi kā nevainīgais -","- निर्दोष के रूप में लक्ष्य -","- Στόχοι ως αθώος -","- Objetivos como inocente -"
"GoalsAsTraitor","- Goals as a traitor -","- Obiettivi come traditore -","- Cele jako zdrajca -","- Objetivos como traidor -","- Ziele als Verräter -","- Objetivos como traidor -","- Objectifs en tant que traître -","- 裏切り者としての目標 -","- Цели как предатель -","- Hain olarak hedefler -","- أهداف كخائن -","- Cíle jako zrádce -","- เป้าหมายในฐานะผู้ทรยศ -","- Tujuan sebagai pengkhianat -","- Doelen als verrader -","- Mục tiêu như là kẻ phản bội -","- 배신자로서의 목표 -","- 作为叛徒的目标 -","- 作為叛徒的目標 -","- Tikslai kaip išdavikas -","- Мета як зрадник -","- Mērķi kā nodevējs -","- गद्दार के रूप में लक्ष्य -","- Στόχοι ως προδότης -","- Objetivos como traidor -"
"KillInnocents","Kill innocents","Uccidi innocenti","Zabij niewinnych","Matar inocentes","Unschuldige töten","Matar inocentes","Tuer les innocents","無実の人々を殺す","Убить невиновных","Masumları öldür","قتل الأبرياء","Zabij nevinné","ฆ่าคนไม่รู้เป็น","Membunuh orang tak bersalah","Onschuldigen doden","Giết người vô tội","무고한 사람을 죽이다","杀害无辜","殺害無辜","Nekaltus nužudyti","Вбивство невинних","Nevainīgus nogalināt","मासूमों को मारो","Σκοτώστε αθώους","Matar inocentes"
"KillInnocents_Description","Tasks Completed","Missioni Completate","Zadania Ukończone","Tareas Completadas","Aufgaben abgeschlossen","Tarefas Concluídas","Tâches Terminées","タスク完了","Задания Выполнены","Görevler Tamamlandı","المهام المكتملة","Úkoly Splněny","ภารกิจสำเร็จ","Tugas Selesai","Taken Voltooid","Nhiệm Vụ Hoàn Thành","과제 완료","任务完成","任務完成","Užduotys Įvykdytos","Завдання Виконано","Uzdevumi Pabeigti","कार्य पूरे हुए","Ολοκληρωμένες Αποστολές","Tarefas Concluídas"
"Abilities","Abilities","Abilità","Umiejętności","Habilidades","Fähigkeiten","Habilidades","Capacités","アビリティ","Способности","Yetenekler","القدرات","Schopnosti","ความสามารถ","Kemampuan","Vermogens","Kỹ năng","능력","能力","能力","Gebėjimai","Здібності","Spējas","क्षमताएँ","Ικανότητες","Habilidades"
"Abilities_Description","- Abilities can be used once selected via Skill Selection Menu.<br>- Some of them can only be obtained by traitors.","- Le abilità possono essere utilizzate una volta selezionate tramite il Menu di Selezione delle Abilità.<br>- Alcune di esse possono essere ottenute solo dai traditori.","- Umiejętności można używać po ich wybraniu z Menu Wyboru Umiejętności.<br>- Niektóre z nich mogą być uzyskane tylko przez zdrajców.","- Las habilidades pueden usarse una vez seleccionadas a través del Menú de Selección de Habilidades.<br>- Algunas solo pueden obtenerse por los traidores.","- Fähigkeiten können verwendet werden, sobald sie über das Fähigkeiten-Auswahlmenü ausgewählt wurden.<br>- Einige davon können nur von Verrätern erlangt werden.","- As habilidades podem ser usadas uma vez selecionadas através do Menu de Seleção de Habilidades.<br>- Algumas delas só podem ser obtidas por traidores.","- Les capacités peuvent être utilisées une fois sélectionnées via le Menu de Sélection des Compétences.<br>- Certaines d'entre elles ne peuvent être obtenues que par les traîtres.","- スキル選択メニューから選択すると、アビリティを使用できます。<br>- 裏切り者だけが得られるものもあります。","- Способности можно использовать после выбора в Меню Выбора Навыков.<br>- Некоторые из них могут быть получены только предателями.","- Yetenekler, Beceri Seçim Menüsü üzerinden seçildikten sonra kullanılabilir.<br>- Bazıları sadece hainler tarafından elde edilebilir.","- يمكن استخدام القدرات بمجرد اختيارها عبر قائمة اختيار المهارات.<br>- يمكن الحصول على بعضها فقط من قبل الخونة.","- Schopnosti lze použít po jejich výběru v nabídce Výběr Dovedností.<br>- Některé z nich mohou získat pouze zrádci.","- ความสามารถสามารถใช้ได้เมื่อเลือกจากเมนูเลือกทักษะ<br>- บางอย่างสามารถรับได้โดยผู้ทรยศเท่านั้น","- Kemampuan dapat digunakan setelah dipilih melalui Menu Pemilihan Keterampilan.<br>- Beberapa dari mereka hanya bisa didapatkan oleh pengkhianat.","- Vermogens kunnen worden gebruikt zodra ze zijn geselecteerd via het Vaardigheidsselectiemenu.<br>- Sommige kunnen alleen door verraders worden verkregen.","- Kỹ năng có thể được sử dụng sau khi chọn qua Menu Chọn Kỹ năng.<br>- Một số chỉ có thể được thu thập bởi kẻ phản bội.","- 능력은 스킬 선택 메뉴를 통해 선택한 후 사용할 수 있습니다.<br>- 일부는 배신자만 얻을 수 있습니다.","- 能力一旦通过技能选择菜单选定后即可使用。<br>- 有些只能由叛徒获得。","- 能力一旦通過技能選擇菜單選定後即可使用。<br>- 有些只能由叛徒獲得。","- Gebėjimus galima naudoti, kai jie parenkami per Įgūdžių Pasirinkimo Meniu.<br>- Kai kuriuos iš jų gali gauti tik išdavikai.","- Здібності можна використовувати після вибору через Меню Вибору Навичок.<br>- Деякі з них можуть бути отримані тільки зрадниками.","- Spējas var izmantot, tiklīdz tās ir izvēlētas, izmantojot Prasmju Izvēles Izvēlni.<br>- Dažas no tām var iegūt tikai nodevēji.","- क्षमताओं को स्किल चयन मेनू के माध्यम से चुने जाने के बाद उपयोग किया जा सकता है।<br>- इनमें से कुछ केवल गद्दारों द्वारा प्राप्त की जा सकती हैं।","- Οι ικανότητες μπορούν να χρησιμοποιηθούν μόλις επιλεγούν μέσω του Μενού Επιλογής Δεξιοτήτων.<br>- Ορισμένες από αυτές μπορούν να αποκτηθούν μόνο από προδότες.","- As habilidades podem ser usadas uma vez selecionadas através do Menu de Seleção de Habilidades.<br>- Algumas delas só podem ser obtidas por traidores."
